10/4/2023, 10:26:29 AM 
Role,Company,LinkedIn 
Senior Designer, Ideas On Purpose, https://www.linkedin.com/jobs/view/senior-designer-at-ideas-on-purpose-3541598655?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=6on8in5KIowi5FtwtahbpQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director - Healthcare Advertising - NYC area, Meet, https://www.linkedin.com/jobs/view/art-director-healthcare-advertising-nyc-area-at-meet-3732268463?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=tTXpaGfkvu06xZTRsahw3w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Motion Designer, Craft, https://www.linkedin.com/jobs/view/motion-designer-at-craft-3732285838?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=eW7r8kwea63HhxN1LKIcLg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director, Meet, https://www.linkedin.com/jobs/view/art-director-at-meet-3732283893?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=YS4KpOYU9GsOD4URFN%2Bngg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Retail Store Design Manager, Ascend Wellness Holdings (CSE: AAWH.U / OTCQX:AAWH), https://www.linkedin.com/jobs/view/retail-store-design-manager-at-ascend-wellness-holdings-cse-aawh-u-otcqx-aawh-3719229255?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=5ulazyCRCx5Qrhf%2FTuzHsg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, IT Trailblazers LLC, https://www.linkedin.com/jobs/view/data-modeler-at-it-trailblazers-llc-3732257610?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=fNs7S7YCpZXDTHGWK8RrbQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-modeler-at-tekgence-inc-3728449536?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=henr7Kk7Aj%2FK9fLBTuWCtQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, Annalect, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-annalect-3728383688?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=u9ulxCpsLtip8ukikMBhSA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler/Architect, SAGE IT, https://www.linkedin.com/jobs/view/data-modeler-architect-at-sage-it-3732285444?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=Ul6XC5lWlAcRcTEtanxgPw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Environmental Specialist Project Manager, WSP in the U.S., https://www.linkedin.com/jobs/view/environmental-specialist-project-manager-at-wsp-in-the-u-s-3700114462?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=vOuUG32jnXge6%2BW5WTS3Nw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Business Development Leader - Asset Strategy, NELSON Worldwide, https://www.linkedin.com/jobs/view/architectural-business-development-leader-asset-strategy-at-nelson-worldwide-3701150069?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=lRRvg5h%2B3IkB5LoU3PyTpA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Global Business Development Manager - US, Otrium, https://www.linkedin.com/jobs/view/global-business-development-manager-us-at-otrium-3732796561?refId=hsPsdK09yQRKSFFsYEz98g%3D%3D&trackingId=snbn%2Ft3TNm9HTHP7rcJBGw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
